File:    C:\exports\T804.txt
Created: Friday, April 28, 2017 12:54:49 PM
Header time format: Absolute
Time of first sample: 118 12:53:47.693618299
Title:   T804

Time	Vel 1 Sense	SG3 TBar Axial	Thermocouple	Flash Trigger	TBar Poisson	IR 1	Gun Fire 24V	Vel 2 Sense	SG2 IBar	Photron Exp Out 1	Photron Exp Out 2	IR 2	Ev C1_01	Ev C1_08
s	V	V	V	V	V		V	V	V					
4E-005	4.85911	-0.0361504	-3.19524E-005	4.97219	-0.0264844	0	23.8931	4.88239	0.00530815	0	0	0	0	0
4.05E-005	4.85707	-0.0361807	-2.86057E-005	4.97832	-0.0263994	0	23.8948	4.87933	0.00533492	0	0	0	0	0
4.1E-005	4.85945	-0.0361538	-2.52591E-005	4.98104	-0.026413	0	23.8965	4.88273	0.00525794	0	0	0	0	0
4.15E-005	4.86012	-0.0361269	-2.52591E-005	4.97628	-0.0264504	0	23.8948	4.88341	0.00526799	0	0	0	0	0
4.2E-005	4.86114	-0.0361302	-2.19124E-005	4.97968	-0.0264028	0	23.8914	4.88239	0.00525794	0	0	0	0	0
4.25E-005	4.86012	-0.0361437	-2.19124E-005	4.97423	-0.0263994	0	23.8881	4.88239	0.00524121	0	0	0	0	0
4.3E-005	4.85979	-0.0361168	-1.85657E-005	4.97423	-0.026464	0	23.8881	4.88239	0.00523786	0	0	0	0	0
4.35E-005	4.86114	-0.0361336	-1.85657E-005	4.97355	-0.02643	0	23.8881	4.88273	0.0053048	0	0	0	0	0
4.4E-005	4.86046	-0.0360932	-1.5219E-005	4.979	-0.026447	0	23.8897	4.88137	0.00526464	0	0	0	0	0
4.45E-005	4.86012	-0.0360932	-1.5219E-005	4.97764	-0.0264674	0	23.8881	4.88375	0.00526464	0	0	0	0	0
4.5E-005	4.86114	-0.0361538	-1.5219E-005	4.97559	-0.026481	0	23.8864	4.88409	0.00528137	0	0	0	0	0
4.55E-005	4.86046	-0.0361807	-1.5219E-005	4.97287	-0.0264198	0	23.8881	4.88205	0.00525794	0	0	0	0	0
4.6E-005	4.86114	-0.0362076	-1.5219E-005	4.97355	-0.0264572	0	23.9032	4.88409	0.00526129	0	0	0	0	0
4.65E-005	4.85775	-0.0361975	-1.85657E-005	4.97559	-0.0264368	0	23.9251	4.88273	0.00527468	0	0	0	0	0
4.7E-005	4.86114	-0.0361437	-1.85657E-005	4.97355	-0.02643	0	23.9454	4.88001	0.0053048	0	0	0	0	0
4.75E-005	4.8608	-0.0361134	-2.19124E-005	4.97083	-0.0264436	0	23.9555	4.88545	0.00528137	0	0	0	0	0
4.8E-005	4.86182	-0.0361504	-2.52591E-005	4.97491	-0.0264776	0	23.9538	4.88341	0.00527468	0	0	0	0	0
4.85E-005	4.86318	-0.0362042	-2.52591E-005	4.97764	-0.0264028	0	23.9454	4.88511	0.00523452	0	0	0	0	0
4.9E-005	4.86216	-0.0361504	-2.52591E-005	4.98104	-0.0264674	0	23.9369	4.88511	0.00522448	0	0	0	0	0
4.95E-005	4.86114	-0.0361672	-2.86057E-005	4.97628	-0.0264368	0	23.9302	4.88613	0.00515419	0	0	0	0	0
5E-005	4.85911	-0.0361033	-2.86057E-005	4.97832	-0.0264368	0	23.9235	4.88443	0.00530815	0	0	0	0	0
5.05E-005	4.85979	-0.0361336	-2.86057E-005	4.97764	-0.026464	0	23.9184	4.88341	0.00527803	0	0	0	0	0
5.1E-005	4.86148	-0.0361269	-2.86057E-005	4.97491	-0.026447	0	23.91	4.88307	0.00526464	0	0	0	0	0
5.15E-005	4.86114	-0.0362177	-2.86057E-005	4.97491	-0.0264538	0	23.9015	4.88375	0.00522448	0	0	0	0	0
5.2E-005	4.86046	-0.0361807	-2.52591E-005	4.97151	-0.026447	0	23.8914	4.88409	0.00531484	0	0	0	0	0
5.25E-005	4.86148	-0.0361504	-2.52591E-005	4.97696	-0.0264742	0	23.8864	4.88205	0.00519435	0	0	0	0	0
5.3E-005	4.86216	-0.0361907	-2.52591E-005	4.96947	-0.0264742	0	23.8864	4.88511	0.00521109	0	0	0	0	0
5.35E-005	4.85911	-0.0361941	-2.52591E-005	4.9681	-0.0264164	0	23.8897	4.88307	0.00525794	0	0	0	0	0
5.4E-005	4.86148	-0.0361437	-2.52591E-005	4.97015	-0.0265253	0	23.8914	4.88511	0.0053115	0	0	0	0	0
5.45E-005	4.86182	-0.0361168	-2.86057E-005	4.97559	-0.0264402	0	23.8897	4.88443	0.00525125	0	0	0	0	0
5.5E-005	4.86419	-0.0361975	-2.86057E-005	4.96742	-0.0264572	0	23.8864	4.88341	0.00525125	0	0	0	0	0
5.55E-005	4.86216	-0.0361571	-2.86057E-005	4.97015	-0.0264232	0	23.883	4.88443	0.00526129	0	0	0	0	0
5.6E-005	4.86318	-0.0361638	-3.19524E-005	4.9647	-0.0264708	0	23.8813	4.88171	0.00523452	0	0	0	0	0
5.65E-005	4.8608	-0.0361369	-3.19524E-005	4.97491	-0.0264334	0	23.8847	4.88443	0.00523117	0	0	0	0	0
