Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140723854223919, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140723854223919, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-1.99715918523725, -1.71498472531988
-1.99172107910272, -1.72997386716037
-1.99172107910272, -1.72316062086924
-1.98900202603545, -1.72452327012746
-1.98492344643455, -1.72452327012746
-1.99715918523725, -1.72724856864391
-1.98900202603545, -1.72588591938569
-1.99172107910272, -1.72997386716037
-1.98764249950182, -1.73406181493504
-1.99036155256908, -1.72861121790214
-1.98492344643455, -1.72179797161101
-1.99579965870362, -1.73133651641859
-1.99036155256908, -1.72043532235278
-1.99579965870362, -1.72997386716037
-1.99308060563635, -1.73406181493504
-1.99987823830452, -1.72861121790214
-1.98900202603545, -1.72861121790214
-1.99036155256908, -1.72452327012746
-1.99172107910272, -1.73542446419327
-1.99987823830452, -1.7367871134515
-1.98900202603545, -1.73269916567682
-1.99172107910272, -1.73814976270972
-1.99036155256908, -1.72997386716037
-1.99308060563635, -1.72861121790214
-1.99308060563635, -1.7367871134515
-1.99036155256908, -1.73951241196795
-1.98900202603545, -1.74360035974263
-1.99172107910272, -1.73269916567682
-1.98900202603545, -1.74768830751731
-1.98492344643455, -1.73951241196795
-1.99172107910272, -1.73814976270972
-1.99444013216998, -1.7422377104844
-1.99444013216998, -1.73951241196795
-1.99036155256908, -1.75041360603376
-1.99036155256908, -1.74496300900085
-1.99172107910272, -1.74768830751731
-1.98628297296818, -1.75177625529198
-1.99172107910272, -1.74632565825908
-1.99579965870362, -1.75313890455021
-1.98492344643455, -1.74360035974263
-1.99444013216998, -1.75041360603376
-1.99172107910272, -1.75177625529198
-1.99036155256908, -1.75313890455021
-1.99036155256908, -1.75313890455021
-1.98900202603545, -1.75858950158312
-1.99172107910272, -1.75586420306666
-1.98628297296818, -1.75586420306666
-1.99036155256908, -1.75722685232489
-1.98628297296818, -1.75450155380844
-1.99036155256908, -1.75450155380844
-1.99036155256908, -1.75177625529198
-1.99579965870362, -1.76676539713247
-1.98900202603545, -1.75586420306666
-1.99036155256908, -1.75858950158312
-1.98900202603545, -1.76131480009957
-1.98764249950182, -1.76540274787425
-1.99036155256908, -1.75995215084134
-1.98764249950182, -1.75995215084134
-1.98900202603545, -1.7681280463907
-1.98220439336728, -1.75858950158312
-1.99308060563635, -1.76267744935779
-1.99444013216998, -1.76540274787425
-1.99308060563635, -1.77085334490715
-1.98764249950182, -1.76404009861602
-1.99308060563635, -1.7735786434236
-1.98492344643455, -1.77221599416538
-1.99308060563635, -1.77766659119828
-1.99172107910272, -1.77221599416538
-1.99172107910272, -1.77221599416538
-1.99444013216998, -1.78175453897296
-1.99308060563635, -1.78311718823119
-1.98492344643455, -1.77494129268183
-1.99987823830452, -1.77902924045651
-1.99308060563635, -1.77766659119828
-1.98900202603545, -1.78039188971473
-1.99444013216998, -1.78039188971473
-1.99036155256908, -1.78856778526409
-1.99172107910272, -1.78720513600586
-1.99172107910272, -1.78720513600586
-1.98764249950182, -1.78447983748941
-1.98764249950182, -1.78584248674764
-1.98084486683365, -1.78584248674764
-1.98764249950182, -1.80355692710458
-1.99308060563635, -1.78993043452232
-1.98764249950182, -1.794018382297
-1.99308060563635, -1.78993043452232
-1.98356391990092, -1.794018382297
-1.99579965870362, -1.794018382297
-1.98492344643455, -1.78993043452232
-1.98900202603545, -1.80355692710458
-1.99172107910272, -1.79674368081345
-1.98492344643455, -1.79810633007167
-1.98628297296818, -1.8049195763628
-1.98492344643455, -1.80355692710458
-1.99579965870362, -1.80083162858813
-1.99036155256908, -1.80764487487926
-1.99308060563635, -1.81173282265394
-1.99172107910272, -1.80900752413748
-1.98764249950182, -1.8049195763628
-1.98356391990092, -1.80355692710458
-1.99308060563635, -1.80355692710458
-1.98764249950182, -1.81718341968684
-1.99172107910272, -1.81582077042861
-1.98492344643455, -1.81582077042861
-1.98900202603545, -1.81854606894507
-1.99036155256908, -1.81718341968684
-1.99172107910272, -1.81309547191216
-1.98764249950182, -1.81582077042861
-1.99036155256908, -1.81854606894507
-1.99444013216998, -1.81582077042861
-1.98628297296818, -1.82127136746152
-1.98492344643455, -1.82127136746152
-1.99036155256908, -1.81854606894507
-1.98900202603545, -1.81718341968684
