Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.140724592290076, 0.00000281, 100000
Channel 1 (PXI1Slot5/1), -0.140724592290076, 0.00000281, 100000

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.99233260785695, -2.62114648204027
-2.99641118745785, -2.60479469094156
-2.99233260785695, -2.61433323574914
-2.99233260785695, -2.61705853426559
-2.99097308132332, -2.61433323574914
-2.98825402825605, -2.61160793723269
-2.99233260785695, -2.61978383278205
-2.99369213439059, -2.61842118352382
-2.99505166092422, -2.61297058649092
-2.98825402825605, -2.61160793723269
-2.99233260785695, -2.61433323574914
-2.98825402825605, -2.61705853426559
-2.98689450172242, -2.6225091312985
-2.99369213439059, -2.61297058649092
-2.98553497518878, -2.60615734019978
-2.98553497518878, -2.61705853426559
-2.99097308132332, -2.61842118352382
-2.99097308132332, -2.61433323574914
-2.98553497518878, -2.61024528797446
-2.98417544865515, -2.61569588500737
-2.98825402825605, -2.61705853426559
-2.98825402825605, -2.61569588500737
-2.99369213439059, -2.61433323574914
-2.98825402825605, -2.6225091312985
-2.98825402825605, -2.62114648204027
-2.99505166092422, -2.61705853426559
-2.99233260785695, -2.61705853426559
-2.98553497518878, -2.61160793723269
-2.98689450172242, -2.61978383278205
-2.99505166092422, -2.62114648204027
-2.98281592212152, -2.61842118352382
-2.98417544865515, -2.61569588500737
-2.98961355478968, -2.61978383278205
-2.98825402825605, -2.62387178055672
-2.98689450172242, -2.62523442981495
-2.98961355478968, -2.61842118352382
-2.98689450172242, -2.62523442981495
-2.99369213439059, -2.61842118352382
-2.99097308132332, -2.62114648204027
-2.99097308132332, -2.61978383278205
-2.99233260785695, -2.62114648204027
-2.98281592212152, -2.62387178055672
-2.98553497518878, -2.62114648204027
-2.98417544865515, -2.6225091312985
-2.98825402825605, -2.62114648204027
-2.99233260785695, -2.6279597283314
-2.98417544865515, -2.62523442981495
-2.99097308132332, -2.62659707907318
-2.98825402825605, -2.62523442981495
-2.99369213439059, -2.63068502684786
-2.98417544865515, -2.62932237758963
-2.98689450172242, -2.63341032536431
-2.98961355478968, -2.63613562388076
-2.98689450172242, -2.6279597283314
-2.98825402825605, -2.63204767610608
-2.99233260785695, -2.63341032536431
-2.98825402825605, -2.63341032536431
-2.98825402825605, -2.63341032536431
-2.98009686905425, -2.62387178055672
-2.99369213439059, -2.63204767610608
-2.98825402825605, -2.63613562388076
-2.98825402825605, -2.63886092239721
-2.98281592212152, -2.63341032536431
-2.98961355478968, -2.63613562388076
-2.99097308132332, -2.64431151943012
-2.98825402825605, -2.64158622091366
-2.98825402825605, -2.64567416868834
-2.98961355478968, -2.64294887017189
-2.97737781598698, -2.63749827313899
-2.98961355478968, -2.63204767610608
-2.98825402825605, -2.63613562388076
-2.98145639558788, -2.63886092239721
-2.99233260785695, -2.64567416868834
-2.98825402825605, -2.64022357165544
-2.98825402825605, -2.64976211646302
-2.98417544865515, -2.64431151943012
-2.98145639558788, -2.6483994672048
-2.98825402825605, -2.64567416868834
-2.98553497518878, -2.65248741497947
-2.97873734252062, -2.64976211646302
-2.98553497518878, -2.64976211646302
-2.98553497518878, -2.64703681794657
-2.98825402825605, -2.6483994672048
-2.98145639558788, -2.64976211646302
-2.98281592212152, -2.65657536275415
-2.98961355478968, -2.66066331052883
-2.98281592212152, -2.6593006612706
-2.98281592212152, -2.64976211646302
-2.98417544865515, -2.66202595978706
-2.98145639558788, -2.65657536275415
-2.98145639558788, -2.6593006612706
-2.98417544865515, -2.65657536275415
-2.98961355478968, -2.65793801201238
-2.98825402825605, -2.66202595978706
-2.98145639558788, -2.66611390756174
-2.98825402825605, -2.66747655681996
-2.98689450172242, -2.66475125830351
-2.98145639558788, -2.67020185533641
-2.98961355478968, -2.67701510162754
-2.98145639558788, -2.67292715385287
-2.98553497518878, -2.66475125830351
-2.98281592212152, -2.67156450459464
-2.98825402825605, -2.67020185533641
-2.98689450172242, -2.67428980311109
-2.98825402825605, -2.68246569866045
-2.98145639558788, -2.67428980311109
-2.97873734252062, -2.67156450459464
-2.98825402825605, -2.68246569866045
-2.98553497518878, -2.68110304940222
-2.98145639558788, -2.67428980311109
-2.98145639558788, -2.68246569866045
-2.98689450172242, -2.6851909971769
-2.98417544865515, -2.679740400144
-2.98281592212152, -2.67837775088577
-2.98961355478968, -2.69064159420981
-2.99097308132332, -2.69064159420981
-2.98281592212152, -2.68927894495158
-2.98009686905425, -2.69472954198448
-2.98009686905425, -2.68655364643513
-2.97873734252062, -2.69609219124271
-2.98417544865515, -2.69472954198448
-2.97465876291972, -2.69064159420981
-2.98145639558788, -2.70699338530852
-2.98009686905425, -2.70154278827562
-2.98417544865515, -2.70426808679207
-2.98281592212152, -2.70699338530852
-2.98689450172242, -2.69200424346803
-2.98009686905425, -2.70563073605029
-2.98281592212152, -2.70835603456675
-2.98009686905425, -2.70835603456675
-2.98825402825605, -2.70971868382497
-2.98145639558788, -2.71380663159965
-2.98281592212152, -2.70699338530852
-2.98825402825605, -2.70835603456675
-2.97465876291972, -2.72198252714901
-2.98417544865515, -2.70835603456675
-2.98825402825605, -2.71925722863256
-2.98689450172242, -2.72879577344014
-2.98825402825605, -2.72334517640723
-2.98281592212152, -2.7165319301161
-2.97873734252062, -2.72879577344014
-2.98417544865515, -2.72334517640723
-2.99097308132332, -2.72607047492369
-2.99233260785695, -2.73288372121482
-2.98417544865515, -2.7369716689895
-2.98689450172242, -2.73288372121482
-2.98145639558788, -2.72470782566546
-2.98145639558788, -2.73152107195659
-2.98825402825605, -2.73560901973127
-2.98417544865515, -2.73833431824772
-2.98145639558788, -2.74105961676417
-2.98689450172242, -2.73288372121482
-2.98281592212152, -2.73833431824772
-2.98145639558788, -2.74651021379708
-2.97329923638608, -2.74651021379708
-2.98825402825605, -2.7424222660224
-2.97737781598698, -2.75059816157176
-2.97601828945335, -2.75196081082998
-2.98689450172242, -2.75468610934644
-2.98145639558788, -2.74651021379708
-2.98145639558788, -2.74923551231353
-2.98009686905425, -2.75332346008821
-2.98281592212152, -2.75196081082998
-2.97465876291972, -2.76013670637934
-2.98145639558788, -2.75604875860466
-2.98553497518878, -2.76149935563757
-2.99233260785695, -2.77240054970338
-2.97737781598698, -2.76694995267047
-2.98825402825605, -2.76967525118692
-2.98417544865515, -2.77921379599451
-2.97601828945335, -2.77103790044515
-2.98009686905425, -2.77103790044515
-2.98281592212152, -2.76967525118692
-2.98281592212152, -2.77921379599451
-2.98145639558788, -2.78466439302741
-2.98553497518878, -2.78057644525273
-2.98145639558788, -2.77785114673628
-2.98009686905425, -2.78193909451096
-2.98145639558788, -2.78466439302741
-2.98145639558788, -2.79692823635145
-2.98689450172242, -2.78602704228564
-2.98553497518878, -2.80101618412612
-2.98961355478968, -2.79011499006032
-2.98145639558788, -2.79284028857677
-2.98417544865515, -2.80101618412612
-2.98145639558788, -2.80646678115903
-2.98825402825605, -2.80374148264258
-2.98009686905425, -2.79829088560967
-2.98825402825605, -2.7996535348679
-2.97601828945335, -2.80374148264258
-2.98417544865515, -2.81464267670839
-2.97873734252062, -2.80374148264258
-2.98553497518878, -2.80919207967548
-2.98281592212152, -2.80919207967548
-2.98553497518878, -2.81191737819193
-2.98417544865515, -2.80919207967548
-2.98417544865515, -2.81191737819193
-2.97329923638608, -2.82418122151597
-2.98417544865515, -2.81873062448306
-2.97873734252062, -2.82418122151597
-2.98281592212152, -2.8255438707742
-2.97329923638608, -2.82690652003242
-2.98825402825605, -2.8309944678071
-2.98689450172242, -2.83371976632355
-2.98689450172242, -2.83780771409823
-2.98145639558788, -2.84053301261468
-2.98825402825605, -2.84189566187291
-2.97737781598698, -2.84053301261468
-2.98281592212152, -2.84053301261468
-2.97873734252062, -2.84053301261468
-2.98553497518878, -2.84598360964759
-2.99097308132332, -2.84053301261468
-2.98145639558788, -2.84870890816404
-2.98689450172242, -2.84870890816404
-2.97873734252062, -2.85007155742227
-2.97329923638608, -2.85415950519694
-2.98417544865515, -2.85824745297162
-2.97737781598698, -2.8568848037134
-2.98281592212152, -2.86506069926275
-2.96922065678518, -2.86506069926275
-2.97601828945335, -2.85961010222985
-2.97873734252062, -2.85824745297162
-2.98553497518878, -2.86369805000453
-2.98553497518878, -2.86506069926275
-2.98553497518878, -2.86914864703743
-2.97873734252062, -2.87459924407034
-2.98281592212152, -2.86914864703743
-2.97737781598698, -2.87459924407034
-2.98281592212152, -2.87596189332856
-2.97737781598698, -2.88277513961969
-2.97737781598698, -2.88141249036147
-2.98417544865515, -2.88413778887792
-2.97873734252062, -2.88004984110324
-2.98009686905425, -2.8882257366526
-2.97873734252062, -2.89095103516905
-2.97601828945335, -2.89503898294373
-2.98145639558788, -2.8882257366526
-2.99233260785695, -2.89640163220196
-2.98553497518878, -2.8936763336855
-2.98417544865515, -2.89776428146018
-2.98281592212152, -2.89912693071841
-2.98281592212152, -2.89912693071841
-2.98009686905425, -2.90048957997663
-2.97873734252062, -2.90457752775131
-2.98145639558788, -2.90594017700954
-2.98689450172242, -2.90594017700954
-2.97873734252062, -2.91002812478422
-2.97873734252062, -2.90730282626776
-2.98009686905425, -2.91002812478422
-2.98553497518878, -2.9141160725589
-2.97873734252062, -2.9195666695918
-2.97193970985245, -2.92229196810825
-2.98417544865515, -2.92229196810825
-2.98145639558788, -2.93046786365761
-2.98417544865515, -2.92229196810825
-2.97601828945335, -2.93319316217406
-2.98553497518878, -2.93591846069051
-2.97465876291972, -2.93591846069051
-2.97601828945335, -2.93319316217406
-2.97737781598698, -2.93591846069051
-2.97873734252062, -2.94818230401455
-2.97737781598698, -2.94273170698165
-2.98417544865515, -2.93728110994874
-2.98553497518878, -2.94954495327278
-2.98281592212152, -2.950907602531
-2.98145639558788, -2.95227025178923
-2.98553497518878, -2.95227025178923
-2.98281592212152, -2.95363290104745
-2.97465876291972, -2.950907602531
-2.98689450172242, -2.95772084882213
-2.97737781598698, -2.95635819956391
-2.98553497518878, -2.95363290104745
-2.98145639558788, -2.96725939362972
-2.98553497518878, -2.96317144585504
-2.97737781598698, -2.96453409511326
-2.97737781598698, -2.97134734140439
-2.97737781598698, -2.96317144585504
-2.98281592212152, -2.97407263992085
-2.98281592212152, -2.9767979384373
-2.98145639558788, -2.97816058769553
-2.98689450172242, -2.97952323695375
-2.97465876291972, -2.9822485354702
-2.97737781598698, -2.98361118472843
-2.97737781598698, -2.9822485354702
-2.98145639558788, -2.98633648324488
-2.98417544865515, -2.97952323695375
-2.98553497518878, -3.00132562508537
-2.98009686905425, -2.98906178176133
-2.98145639558788, -2.99178708027779
-2.98689450172242, -2.99860032656892
-2.98281592212152, -2.99451237879424
-2.98553497518878, -3.00132562508537
-2.97737781598698, -3.0026882743436
-2.97601828945335, -3.00405092360182
-2.98281592212152, -3.00132562508537
-2.98417544865515, -2.99723767731069
-2.98145639558788, -3.00541357286005
-2.98009686905425, -3.00950152063473
-2.98281592212152, -3.01495211766763
-2.98145639558788, -3.01222681915118
-2.98281592212152, -3.01495211766763
-2.97737781598698, -3.01358946840941
-2.97873734252062, -3.02585331173344
-2.98281592212152, -3.02585331173344
-2.97873734252062, -3.01086416989295
-2.98281592212152, -3.02040271470054
-2.98145639558788, -3.02312801321699
-2.98825402825605, -3.03130390876635
-2.97737781598698, -3.03811715505748
-2.98009686905425, -3.02449066247521
-2.97465876291972, -3.03130390876635
-2.97737781598698, -3.0340292072828
-2.98553497518878, -3.03130390876635
-2.98689450172242, -3.04356775209038
-2.99097308132332, -3.04629305060683
-2.98825402825605, -3.0394798043157
-2.98553497518878, -3.05583159541442
-2.98145639558788, -3.05038099838151
-2.98281592212152, -3.04356775209038
-2.98553497518878, -3.05038099838151
-2.98009686905425, -3.05446894615619
-2.98281592212152, -3.05310629689796
-2.97737781598698, -3.05855689393087
-2.98145639558788, -3.05991954318909
-2.98145639558788, -3.06264484170555
-2.98825402825605, -3.06264484170555
-2.98281592212152, -3.06673278948023
-2.97601828945335, -3.065370140222
-2.98145639558788, -3.0708207372549
-2.97329923638608, -3.05855689393087
-2.98689450172242, -3.08035928206249
-2.97601828945335, -3.0708207372549
-2.98417544865515, -3.08172193132071
-2.98553497518878, -3.07763398354603
-2.98145639558788, -3.08444722983717
-2.98145639558788, -3.08580987909539
-2.98145639558788, -3.08172193132071
-2.98009686905425, -3.08444722983717
-2.97873734252062, -3.08717252835362
-2.98281592212152, -3.09398577464475
-2.98689450172242, -3.08580987909539
-2.98145639558788, -3.09943637167765
-2.98009686905425, -3.0912604761283
-2.97465876291972, -3.10079902093588
-2.98009686905425, -3.0912604761283
-2.97873734252062, -3.09262312538652
-2.98281592212152, -3.09943637167765
-2.98417544865515, -3.09534842390297
-2.98281592212152, -3.10897491648524
-2.97601828945335, -3.10488696871056
-2.98145639558788, -3.10352431945233
-2.97601828945335, -3.11442551351814
-2.98145639558788, -3.11306286425991
-2.98009686905425, -3.10624961796878
-2.98145639558788, -3.11306286425991
-2.98009686905425, -3.11442551351814
-2.97329923638608, -3.11987611055105
-2.98553497518878, -3.11170021500169
-2.98009686905425, -3.12396405832572
-2.98281592212152, -3.1226014090675
-2.98553497518878, -3.1226014090675
-2.97737781598698, -3.1226014090675
-2.98009686905425, -3.1226014090675
-2.98145639558788, -3.13486525239153
-2.98009686905425, -3.12532670758395
-2.98009686905425, -3.13486525239153
-2.97601828945335, -3.12668935684218
-2.98009686905425, -3.13077730461685
-2.98553497518878, -3.13759055090799
-2.98417544865515, -3.13622790164976
-2.97873734252062, -3.14031584942444
-2.98553497518878, -3.14712909571557
-2.98961355478968, -3.14304114794089
-2.98281592212152, -3.14304114794089
-2.98553497518878, -3.14304114794089
-2.98281592212152, -3.14985439423202
-2.98145639558788, -3.14576644645734
-2.97737781598698, -3.14712909571557
-2.97737781598698, -3.15257969274847
-2.97873734252062, -3.15121704349025
-2.98689450172242, -3.15530499126493
-2.97737781598698, -3.15803028978138
-2.98417544865515, -3.15530499126493
-2.98281592212152, -3.15530499126493
-2.97873734252062, -3.15530499126493
-2.98009686905425, -3.15666764052315
-2.98825402825605, -3.16211823755606
-2.98281592212152, -3.16756883458896
-2.98009686905425, -3.1593929390396
-2.98961355478968, -3.17029413310541
-2.98281592212152, -3.16893148384719
-2.98281592212152, -3.16484353607251
-2.98145639558788, -3.17165678236364
-2.98281592212152, -3.17301943162187
-2.98281592212152, -3.17165678236364
-2.98689450172242, -3.17710737939654
-2.98689450172242, -3.17301943162187
-2.98145639558788, -3.17574473013832
-2.97329923638608, -3.17438208088009
-2.98961355478968, -3.18119532717122
-2.98417544865515, -3.17847002865477
-2.99233260785695, -3.17574473013832
-2.98553497518878, -3.18392062568767
-2.98145639558788, -3.18392062568767
-2.98145639558788, -3.18392062568767
-2.98281592212152, -3.18392062568767
-2.98145639558788, -3.1852832749459
-2.98417544865515, -3.18664592420413
-2.98689450172242, -3.19073387197881
-2.97873734252062, -3.18664592420413
-2.98825402825605, -3.1852832749459
-2.98417544865515, -3.1852832749459
-2.98145639558788, -3.19618446901171
-2.98281592212152, -3.20027241678639
-2.97873734252062, -3.20163506604461
-2.99233260785695, -3.19890976752816
-2.97873734252062, -3.20299771530284
-2.99233260785695, -3.19890976752816
-2.98689450172242, -3.19618446901171
-2.98281592212152, -3.20163506604461
-2.98281592212152, -3.2111736108522
-2.97873734252062, -3.20163506604461
-2.98281592212152, -3.20436036456107
-2.98417544865515, -3.2166242078851
-2.97873734252062, -3.20708566307752
-2.98553497518878, -3.21526155862688
-2.98009686905425, -3.20436036456107
-2.98689450172242, -3.21389890936865
-2.98009686905425, -3.20844831233575
-2.98961355478968, -3.21253626011042
-2.99097308132332, -3.21253626011042
-2.97873734252062, -3.22343745417623
-2.98417544865515, -3.21934950640155
-2.98825402825605, -3.21526155862688
-2.98145639558788, -3.2166242078851
-2.98281592212152, -3.21389890936865
-2.98145639558788, -3.22071215565978
-2.98281592212152, -3.21934950640155
