Meta data,,,
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0),-0.27129112,0.000006,100000
Channel 1 (PXI1Slot5/1),-0.27129112,0.000006,100000
,,,
Data,,,
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1),,
-3.965753606,7.286676275,0.00249,
-3.976629818,7.29485217,0.002496,
-3.98750603,7.293489521,0.002502,
-3.986146504,7.29485217,0.002508,
-3.973910765,7.301665416,0.002514,
-3.99158461,7.298940118,0.00252,
-3.999741769,7.296214819,0.002526,
-3.980708398,7.296214819,0.002532,
-3.945360708,7.29485217,0.002538,
-3.968472659,7.29485217,0.002544,
-3.992944137,7.286676275,0.00255,
-3.988865557,7.290764222,0.002556,
-3.971191712,7.301665416,0.002562,
-3.984786977,7.29485217,0.002568,
-3.972551239,7.29485217,0.002574,
-3.983427451,7.288038924,0.00258,
-3.980708398,7.296214819,0.002586,
-3.972551239,7.293489521,0.002592,
-3.949439288,7.286676275,0.002598,
-3.972551239,7.29485217,0.002604,
-3.954877394,7.293489521,0.00261,
-3.967113132,7.289401573,0.002616,
-3.964394079,7.286676275,0.002622,
-3.965753606,7.290764222,0.002628,
-3.961675026,7.288038924,0.002634,
-3.953517867,7.29485217,0.00264,
-3.952158341,7.292126872,0.002646,
-3.968472659,7.296214819,0.002652,
-3.967113132,7.296214819,0.002658,
-3.950798814,7.285313625,0.002664,
-3.965753606,7.286676275,0.00267,
-3.964394079,7.292126872,0.002676,
-3.967113132,7.288038924,0.002682,
-3.972551239,7.285313625,0.002688,
-3.967113132,7.288038924,0.002694,
-3.979348871,7.298940118,0.0027,
-3.971191712,7.288038924,0.002706,
-3.961675026,7.293489521,0.002712,
-3.965753606,7.29485217,0.002718,
-3.963034553,7.292126872,0.002724,
-3.963034553,7.298940118,0.00273,
-3.95623692,7.286676275,0.002736,
-3.952158341,7.297577469,0.002742,
-3.968472659,7.283950976,0.002748,
-3.971191712,7.296214819,0.002754,
-3.958955973,7.286676275,0.00276,
-3.957596447,7.289401573,0.002766,
-3.9603155,7.292126872,0.002772,
-3.961675026,7.300302767,0.002778,
-3.95623692,7.292126872,0.002784,
-3.971191712,7.297577469,0.00279,
-3.958955973,7.293489521,0.002796,
-3.963034553,7.290764222,0.002802,
-3.9603155,7.296214819,0.002808,
-3.965753606,7.289401573,0.002814,
-3.949439288,7.292126872,0.00282,
-3.958955973,7.29485217,0.002826,
-3.961675026,7.288038924,0.002832,
-3.950798814,7.290764222,0.002838,
-3.954877394,7.29485217,0.002844,
-3.948079761,7.292126872,0.00285,
-3.945360708,7.285313625,0.002856,
-3.949439288,7.288038924,0.002862,
-3.942641655,7.296214819,0.002868,
-3.946720234,7.29485217,0.002874,
-3.945360708,7.286676275,0.00288,
-3.948079761,7.296214819,0.002886,
-3.939922602,7.297577469,0.002892,
-3.946720234,7.283950976,0.002898,
-3.941282128,7.292126872,0.002904,
-3.948079761,7.292126872,0.00291,
-3.950798814,7.293489521,0.002916,
-3.942641655,7.286676275,0.002922,
-3.944001181,7.288038924,0.002928,
-3.941282128,7.290764222,0.002934,
-3.949439288,7.292126872,0.00294,
-3.957596447,7.281225677,0.002946,
-3.945360708,7.283950976,0.002952,
